timestamp,phase,cpu_percent,mem_mb
1783125067.19881,pull,0.0,49.35
1783125067.219161,pull,6.12,49.35
1783125067.2394793,pull,6.43,49.35
1783125067.259884,pull,6.08,49.35
1783125067.2802446,pull,5.96,49.15
1783125067.3006074,pull,5.81,49.07
1783125067.3210025,pull,6.08,49.07
1783125067.341344,pull,6.1,49.07
1783125067.3616545,pull,6.43,49.07
1783125067.382005,pull,5.95,49.18
1783125067.4023616,pull,6.97,49.69
1783125067.4228315,pull,5.35,49.49
1783125067.4432535,commit,0.0,49.44
1783125067.4638484,commit,0.0,49.44
1783125067.4844458,push,0.43,49.3
1783125067.5048213,push,6.08,49.3
1783125067.525116,push,6.13,49.3
1783125067.545708,push,6.33,49.3
1783125067.5662024,push,6.06,49.29
1783125067.5866292,push,5.49,49.2
1783125067.6072218,push,6.04,49.2
1783125067.6276681,push,6.36,49.2
1783125067.648207,push,6.03,49.2
1783125067.668451,push,5.89,49.51
1783125067.6888506,push,6.1,49.51
1783125067.709248,push,6.09,49.51
1783125067.7297544,push,6.34,49.51
1783125067.750053,push,6.13,49.51
1783125067.7703764,push,5.46,49.68
1783125067.7909863,push,4.67,49.59
1783125067.8113234,push,6.12,49.59
1783125067.8317983,push,6.36,49.59
1783125067.8521113,push,6.13,49.59
1783125067.872416,push,3.77,49.57
1783125067.892931,push,4.77,49.46
1783125067.913273,push,6.1,49.46
1783125067.933746,push,6.38,49.46
1783125067.954038,push,6.13,49.46
1783125067.9744213,push,4.58,49.83
1783125067.994834,push,4.38,49.62
1783125068.015182,push,6.12,49.62
1783125068.0354915,push,6.4,49.62
1783125068.0557938,push,6.13,49.62
1783125068.0761614,push,5.29,50.02
1783125068.0964818,push,6.5,53.86
1783125068.116835,push,18.18,53.11
1783125068.1372824,push,2.48,53.25
