timestamp,phase,cpu_percent,mem_mb
1783133422.9142337,clone,0.0,3.32
1783133422.934378,clone,0.0,2.81
1783133422.9546566,clone,0.24,2.81
1783133422.97492,clone,0.0,2.81
1783133422.9953544,clone,0.0,2.81
1783133423.0158126,clone,1.58,3.12
1783133423.0362604,clone,0.0,3.12
1783133423.0566363,clone,0.23,2.57
1783133423.0769193,add,0.0,2.45
1783133423.097157,commit,0.0,2.35
1783133423.11756,commit,0.0,2.1
1783133423.1377623,push,0.9,2.8
1783133423.1580665,push,0.0,2.8
1783133423.1783895,push,0.53,3.01
