timestamp,phase,cpu_percent,mem_mb
1783135018.773768,pull,0.0,53.43
1783135018.7939303,pull,6.17,53.43
1783135018.8140974,pull,6.14,53.42
1783135018.8343017,pull,5.53,53.31
1783135018.8546045,pull,6.44,53.31
1783135018.8747692,pull,7.98,53.99
1783135018.8950436,pull,3.4,56.35
1783135018.9153132,commit,0.0,56.33
1783135018.935773,commit,0.0,56.27
1783135018.9560463,commit,0.0,56.27
1783135018.9762862,commit,0.0,56.27
1783135018.9965274,commit,0.0,56.27
1783135019.016826,commit,0.04,56.27
1783135019.0370557,commit,0.0,56.27
1783135019.0572598,commit,0.0,56.27
1783135019.0774486,commit,0.0,56.27
1783135019.097683,commit,0.0,56.16
1783135019.1178977,commit,0.0,56.16
1783135019.13801,commit,0.0,56.16
1783135019.158191,commit,0.0,56.16
1783135019.1784363,commit,0.0,56.16
1783135019.1986685,commit,0.0,56.16
1783135019.2188654,commit,0.0,56.16
1783135019.239054,commit,0.0,56.16
1783135019.2592704,commit,0.0,56.16
1783135019.27949,commit,0.0,56.16
1783135019.299691,commit,0.0,56.16
1783135019.319886,commit,0.0,56.16
1783135019.340186,push,3.23,56.59
1783135019.3603442,push,6.17,56.59
1783135019.3804896,push,5.63,56.42
1783135019.4007103,push,6.17,56.42
1783135019.4209015,push,6.26,56.62
1783135019.4410512,push,5.59,56.48
1783135019.4612086,push,6.18,56.48
1783135019.4813354,push,3.33,56.48
1783135019.5015733,push,6.46,56.48
1783135019.5216992,push,5.06,56.61
1783135019.5420022,push,4.77,56.49
1783135019.5621424,push,6.19,56.49
1783135019.5822673,push,3.54,56.84
1783135019.6025274,push,6.45,56.84
1783135019.6226614,push,5.47,57.02
1783135019.6428804,push,4.91,56.87
1783135019.6630237,push,6.19,56.87
1783135019.6831574,push,3.69,56.68
1783135019.7034016,push,6.45,56.68
1783135019.723535,push,5.05,56.62
1783135019.7436595,push,4.61,56.76
1783135019.7638247,push,6.18,56.76
1783135019.7840252,push,3.86,56.8
1783135019.8042026,push,6.18,56.79
1783135019.8243604,push,5.65,57.18
1783135019.8445408,push,4.78,57.0
1783135019.8646853,push,6.18,56.86
1783135019.8848069,push,3.88,57.2
1783135019.9050581,push,6.15,57.2
1783135019.9252236,push,5.73,57.9
1783135019.945391,push,4.84,57.94
1783135019.9656243,push,6.16,57.94
1783135019.9858372,push,4.68,58.27
1783135020.0060258,push,6.18,58.27
1783135020.0261796,push,6.02,58.25
1783135020.0463743,push,2.51,58.46
1783135020.0665634,push,2.62,59.72
1783135020.0867457,push,2.35,59.98
1783135020.1077793,push,0.0,59.98
