timestamp,phase,cpu_percent,mem_rss_mb
1783135018.7751837,pull,0.0,11.141
1783135018.8031993,pull,0.0,11.141
1783135018.8311067,pull,0.0,11.539
1783135018.8586934,pull,0.0,11.539
1783135018.88751,pull,0.0,0.0
1783135018.9231327,commit,0.0,14.414
1783135018.951329,commit,106.4,30.125
1783135018.9797065,commit,105.7,43.699
1783135019.0073547,commit,72.3,50.156
1783135019.0343258,commit,111.2,51.238
1783135019.0615785,commit,110.1,52.52
1783135019.0889797,commit,73.0,54.031
1783135019.1158247,commit,149.0,54.734
1783135019.1429808,commit,73.6,55.402
1783135019.1695795,commit,112.8,57.32
1783135019.1961064,commit,75.4,58.59
1783135019.2232904,commit,110.4,58.855
1783135019.2498314,commit,113.0,59.574
1783135019.2762554,commit,75.7,59.859
1783135019.302834,commit,112.9,60.262
1783135019.3352673,push,0.0,11.102
1783135019.363206,push,0.0,11.102
1783135019.3908038,push,0.0,11.57
1783135019.4181135,push,0.0,11.57
1783135019.446023,push,0.0,11.715
1783135019.4737651,push,0.0,11.715
1783135019.5015626,push,0.0,11.742
1783135019.5293114,push,0.0,11.742
1783135019.556719,push,0.0,11.742
1783135019.5845702,push,0.0,11.742
1783135019.611331,push,0.0,11.742
1783135019.6391234,push,0.0,11.742
1783135019.6661794,push,0.0,11.742
1783135019.6951835,push,0.0,11.742
1783135019.7227786,push,0.0,11.742
1783135019.750225,push,0.0,11.742
1783135019.7777529,push,0.0,11.742
1783135019.8062131,push,0.0,11.742
1783135019.8344314,push,0.0,11.742
1783135019.8624675,push,0.0,11.742
1783135019.890605,push,0.0,11.742
1783135019.9174871,push,0.0,11.742
1783135019.946206,push,0.0,11.742
1783135019.973439,push,0.0,11.742
1783135020.0027902,push,0.0,11.742
1783135020.0309262,push,0.0,11.742
1783135020.061916,push,0.0,11.742
1783135020.0907786,push,0.0,0.0
