timestamp,phase,cpu_percent,mem_mb
1783135967.1600142,clone,0.0,3.98
1783135967.1801748,clone,0.0,3.03
1783135967.200445,clone,0.09,3.03
1783135967.2207007,clone,0.0,3.03
1783135967.2411158,clone,0.0,3.03
1783135967.2615712,clone,1.1,3.0
1783135967.2819018,clone,0.0,3.0
1783135967.3023298,clone,0.19,2.65
1783135967.3226812,add,0.0,2.65
1783135967.3432133,add,0.0,2.39
1783135967.3638637,commit,0.0,2.38
1783135967.3841388,push,0.91,3.09
1783135967.404356,push,0.0,3.09
1783135967.4246602,push,0.07,3.09
